1,Facultad de Ingeniería,Libertador General San Martin 1109 (O),Capital,SanJuan,0264-4222074 - 4222643
1,1,BioIngenieria,Bioingeniero,Once Semestres,Grado
1,2,Ingeniería Electrónica,Ingeniero en Electrónica,Once Semestres,Grado
1,3,Ingeniería Electrica,Ingeniero en Electrico,Diez Semestres,Grado
2,Facultad de Ciencias Exactas Físicas y Naturales,Avenida Ignacio de la Roza 590 (Oeste),Rivadavia,San Juan,0264-4260353-4260355
2,1,Licenciatura en Sistemas de Información,Licenciado en Sistemas de Información,Diez Semestres,Grado
2,2,Licenciatura en Ciencias de la Computación,Licenciado en Ciencias de la Computación,Diez Semestres,Grado
2,3,Tecnicatura en Programación Web,Técnico en Programación Web,Tres Semestres,Pre grado
3,Facultad de Ciencias Sociales,Av. Ignacio de la Roza 590 (O) Complejo Universitario "Islas Malvinas", Rivadavia, San Juan,4231949-4230314
3,1,Contador Publico,Contador Publico,Diez Semestres,Grado
4,Facultad de Arquitectura, Urbanismo y Diseño,Av. Ignacio de la Roza 590 (O) Complejo Universitario "Islas Malvinas",Rivadavia, San Juan,4233259-4260104
4,1,Arquitectura,Arquitecto,Doce Semestres,Grado
4,2,Diseño Grafico,Diseñador Grafico,Diez Semestres,Grado
5,Facultad de Filosofia, Humanidades y Artes, Av.Ignacio de la Roza 230 (O),Capital, San Juan,0264-4222074 - 4222643
5,1,Licencitura en Matematica,Licenciado en Matemática,Diez Semestres,Grado
5,2,Licenciatura en Filosofia,Licenciado en Filosofia,Diez Semestres,Grado